"Word"	"Freq"
"7378"	"yes"	55
"1964"	"does"	54
"5957"	"side"	54
"6025"	"situation"	54
"6414"	"suppose"	54
"7276"	"wished"	54
"2201"	"end"	53
"4472"	"norland"	53
"4814"	"people"	53
"5313"	"reason"	53
"5560"	"rest"	53
"2864"	"given"	52
"5589"	"returned"	52
"3984"	"longer"	51
"4437"	"next"	51
"4584"	"often"	51
"4736"	"park"	51
"6678"	"took"	51
"6833"	"under"	51
"1034"	"chapter"	50
"2764"	"friend"	50
"4106"	"married"	50
"7079"	"voice"	50
"810"	"body"	49
"2512"	"farther"	49
"4327"	"mothers"	49
"4765"	"passed"	49
"4974"	"possible"	49
"5388"	"regard"	49
"7188"	"went"	49
"312"	"already"	48
"2317"	"evening"	48
"4745"	"part"	48
"4761"	"party"	48
"6614"	"those"	48
"1586"	"days"	47
"6300"	"street"	47
"6622"	"thousand"	47
"7231"	"whose"	47
"7232"	"why"	47
"7316"	"word"	47
"7375"	"years"	47
"62"	"able"	46
"749"	"beyond"	46
"1773"	"determined"	46
"4123"	"matter"	46
"4239"	"minutes"	46
"4520"	"obliged"	46
"4749"	"particular"	46
"907"	"business"	45
"1990"	"doubt"	45
"4418"	"neither"	45
"6472"	"take"	45
"2162"	"else"	44
"2868"	"glad"	44
"4104"	"marriage"	44
"4991"	"power"	44
"115"	"account"	43
"924"	"called"	43
"2115"	"edwards"	43
"3613"	"interest"	43
"4372"	"name"	43
"4589"	"old"	43
"4825"	"perfectly"	43
"5227"	"put"	43
"1828"	"directly"	42
"2270"	"entirely"	42
"3781"	"kindness"	42
"7208"	"whether"	42
"7240"	"wife"	42
"160"	"added"	41
"683"	"began"	41
"2505"	"fanny"	41
"3264"	"hours"	41
"5588"	"return"	41
"5803"	"seeing"	41
"970"	"carriage"	40
"2228"	"engaged"	40
"2287"	"equally"	40
"4986"	"pounds"	40
"6428"	"surprise"	40
"6479"	"talk"	40
"7108"	"want"	40
"609"	"back"	39
"1431"	"conversation"	39
"2261"	"entered"	39
"2742"	"four"	39
"3016"	"hand"	39
"5327"	"received"	39
"5731"	"saying"	39
"2400"	"expected"	38
"2948"	"greater"	38
"4939"	"point"	38
"5306"	"real"	38
"6250"	"steele"	38
"7199"	"whatever"	38
"7258"	"willoughbys"	38
"1073"	"child"	37
"1185"	"coming"	37
"2730"	"fortune"	37
"2867"	"giving"	37
"3299"	"husband"	37
"4134"	"mean"	37
"4139"	"means"	37
"5712"	"sat"	37
"5714"	"satisfaction"	37
"6181"	"spent"	37
"6564"	"themselves"	37
"6631"	"through"	37
"7401"	"yourself"	37
"485"	"ask"	36
"1290"	"conduct"	36
"1555"	"dare"	36
"1574"	"daughter"	36
"1978"	"door"	36
"3390"	"impossible"	36
"3729"	"jenningss"	36
"3960"	"live"	36
"4510"	"object"	36
"4612"	"open"	36
"5874"	"settled"	36
"7305"	"wonder"	36
"7373"	"year"	36
"465"	"arrival"	35
"923"	"call"	35
"3089"	"head"	35
"4651"	"ought"	35
"5073"	"pretty"	35
"5977"	"silent"	35
"6188"	"spite"	35
"416"	"appeared"	34
"2132"	"either"	34
"2859"	"girl"	34
"3980"	"london"	34
"4077"	"manners"	34
"4751"	"particularly"	34
"5304"	"ready"	34
"6193"	"spoke"	34
"382"	"answer"	33
"530"	"attachment"	33
"957"	"care"	33
"978"	"case"	33
"1035"	"character"	33
"1075"	"children"	33
"1589"	"deal"	33
"2894"	"gone"	33
"3813"	"ladies"	33
"4212"	"middletons"	33
"4293"	"months"	33
"4445"	"night"	33
"6142"	"sorry"	33
"7163"	"week"	33
"243"	"afterwards"	32
"509"	"assure"	32
"1474"	"country"	32
"3665"	"invitation"	32
"3966"	"living"	32
"4038"	"maam"	32
"4090"	"margaret"	32
