"Word"	"Freq"
"527"	"横"	20
"795"	"六"	20
"1277"	"忘"	20
"58"	"ッ"	19
"144"	"抜"	19
"308"	"待"	19
"555"	"廻"	19
"661"	"景"	19
"830"	"毛"	19
"981"	"強"	19
"1304"	"舞"	19
"1371"	"形"	19
"1391"	"続"	19
"1407"	"押"	19
"1479"	"引"	19
"1480"	"飲"	19
"168"	"悲"	18
"200"	"病"	18
"303"	"燵"	18
"328"	"登"	18
"342"	"電"	18
"346"	"畳"	18
"632"	"階"	18
"767"	"連"	18
"823"	"売"	18
"998"	"情"	18
"1057"	"散"	18
"1069"	"晒"	18
"1161"	"誰"	18
"1481"	"隠"	18
"1558"	"張"	18
"1659"	"走"	18
"131"	"安"	17
"187"	"壁"	17
"267"	"虫"	17
"528"	"紅"	17
"750"	"離"	17
"800"	"路"	17
"1122"	"世"	17
"1195"	"所"	17
"1242"	"同"	17
"1258"	"土"	17
"1476"	"陰"	17
"1669"	"昨"	17
"50"	"ぞ"	16
"94"	"ポ"	16
"137"	"暗"	16
"337"	"底"	16
"350"	"頂"	16
"540"	"花"	16
"569"	"肌"	16
"582"	"記"	16
"723"	"袴"	16
"743"	"労"	16
"880"	"墓"	16
"965"	"泣"	16
"1111"	"石"	16
"1255"	"徒"	16
"1412"	"煙"	16
"1601"	"紙"	16
"1644"	"追"	16
"65"	"ト"	15
"178"	"崩"	15
"601"	"肩"	15
"647"	"金"	15
"711"	"考"	15
"741"	"廊"	15
"848"	"夢"	15
"854"	"眠"	15
"952"	"七"	15
"1027"	"燃"	15
"1114"	"食"	15
"1199"	"台"	15
"1229"	"畑"	15
"1249"	"投"	15
"1310"	"昔"	15
"1318"	"洗"	15
"1629"	"主"	15
"126"	"哀"	14
"199"	"並"	14
"277"	"触"	14
"304"	"打"	14
"320"	"倒"	14
"608"	"繭"	14
"667"	"境"	14
"756"	"裏"	14
"776"	"両"	14
"838"	"毎"	14
"853"	"糸"	14
"929"	"片"	14
"935"	"平"	14
"993"	"青"	14
"1002"	"親"	14
"1142"	"受"	14
"1268"	"駄"	14
"1308"	"西"	14
"1338"	"現"	14
"1341"	"相"	14
"1394"	"軒"	14
"1429"	"洋"	14
"1473"	"議"	14
"116"	"ル"	13
"129"	"愛"	13
"151"	"板"	13
"226"	"側"	13
"254"	"澄"	13
"329"	"燈"	13
"341"	"店"	13
"345"	"調"	13
"367"	"渡"	13
"380"	"蛾"	13
"384"	"耳"	13
"537"	"戸"	13
"621"	"降"	13
"638"	"潔"	13
"673"	"酒"	13
"694"	"巻"	13
"703"	"開"	13
"782"	"林"	13
"812"	"旅"	13
"819"	"馬"	13
"905"	"濃"	13
"1290"	"文"	13
"1423"	"宴"	13
"1485"	"映"	13
"1531"	"楽"	13
"1670"	"左"	13
"99"	"ム"	12
"221"	"倉"	12
"309"	"帯"	12
"311"	"戴"	12
"331"	"低"	12
