"Word"	"Freq"
"7837"	"short"	67
"5153"	"less"	66
"8557"	"talked"	66
"8869"	"towards"	66
"9041"	"understand"	66
"729"	"back"	65
"5050"	"lady"	65
"5894"	"nobody"	65
"6432"	"perfectly"	65
"7867"	"side"	65
"8750"	"three"	65
"3628"	"general"	64
"6757"	"pretty"	64
"8012"	"smith"	64
"223"	"afraid"	63
"843"	"began"	63
"5921"	"nor"	63
"7906"	"since"	63
"8179"	"spirits"	63
"8688"	"these"	63
"8947"	"true"	63
"107"	"acquaintance"	62
"441"	"answer"	62
"2699"	"either"	62
"3097"	"extremely"	62
"4028"	"heart"	62
"5866"	"next"	62
"6472"	"person"	62
"6954"	"put"	62
"7058"	"ready"	62
"7752"	"set"	62
"8684"	"therefore"	62
"8700"	"things"	62
"9036"	"under"	62
"1196"	"carriage"	61
"5295"	"looking"	61
"7939"	"situation"	61
"9587"	"wife"	61
"1265"	"change"	60
"1491"	"comfort"	60
"8761"	"through"	60
"623"	"assure"	59
"1876"	"course"	59
"1986"	"dare"	59
"9548"	"whether"	59
"5429"	"marry"	58
"8546"	"taken"	58
"8552"	"talk"	58
"8710"	"thinking"	58
"9525"	"westons"	58
"667"	"attention"	57
"7923"	"sir"	57
"1273"	"chapter"	56
"2901"	"equal"	56
"5027"	"known"	56
"6190"	"others"	56
"8241"	"state"	56
"2972"	"exactly"	55
"5133"	"leave"	55
"5279"	"longer"	55
"7379"	"return"	55
"8113"	"sorry"	55
"9788"	"years"	55
"735"	"bad"	54
"2016"	"days"	54
"2112"	"degree"	54
"3263"	"feeling"	54
"4408"	"imagine"	54
"7713"	"sense"	54
"8443"	"superior"	54
"82"	"account"	53
"925"	"beyond"	53
"1085"	"brought"	53
"3624"	"gave"	53
"5607"	"minutes"	53
"5790"	"name"	53
"810"	"because"	52
"1101"	"business"	52
"1326"	"children"	52
"5399"	"manners"	52
"6362"	"passed"	52
"9371"	"walk"	52
"9374"	"walked"	52
"390"	"among"	51
"691"	"aunt"	51
"3887"	"hand"	51
"4820"	"isabella"	51
"5471"	"mean"	51
"5718"	"mother"	51
"8560"	"talking"	51
"9853"	"yourself"	51
"793"	"bear"	50
"1179"	"care"	50
"1450"	"cold"	50
"5380"	"making"	50
"5803"	"natural"	50
"6595"	"point"	50
"9228"	"used"	50
"267"	"agreeable"	49
"7048"	"read"	49
"7344"	"rest"	49
"7576"	"saying"	49
"7665"	"seeing"	49
"9239"	"usual"	49
"206"	"affection"	48
"485"	"appeared"	48
"1460"	"cole"	48
"2318"	"directly"	48
"3114"	"eyes"	48
"3680"	"glad"	48
"7208"	"remember"	48
"9669"	"wonder"	48
"325"	"allow"	47
"2794"	"end"	47
"5480"	"means"	47
"8844"	"took"	47
"244"	"against"	46
"648"	"attachment"	46
"1079"	"brother"	46
"2640"	"each"	46
"3585"	"full"	46
"3679"	"giving"	46
"7557"	"satisfied"	46
"8044"	"society"	46
"9340"	"voice"	46
"9580"	"why"	46
"9632"	"wished"	46
"9705"	"words"	46
"286"	"air"	45
"871"	"believed"	45
"3668"	"girl"	45
"4735"	"interest"	45
"5215"	"likely"	45
"5427"	"married"	45
"6340"	"particularly"	45
"9376"	"walking"	45
"9508"	"went"	45
"1131"	"called"	44
"1356"	"churchills"	44
"5048"	"ladies"	44
"5273"	"london"	44
"5812"	"near"	44
"6577"	"pleased"	44
"7333"	"respect"	44
"8150"	"speaking"	44
"354"	"already"	43
"1144"	"campbell"	43
"2001"	"daughter"	43
"2511"	"donwell"	43
"7150"	"regard"	43
"8335"	"strong"	43
"589"	"ask"	42
"1130"	"call"	42
"1275"	"character"	42
"2305"	"dinner"	42
"3193"	"farther"	42
"4263"	"hoped"	42
"5482"	"meant"	42
"5826"	"need"	42
"6855"	"proper"	42
"7061"	"real"	42
"8000"	"smile"	42
"2494"	"doing"	41
"2650"	"early"	41
"3219"	"fathers"	41
"3329"	"fine"	41
"4377"	"ill"	41
"6338"	"particular"	41
"8247"	"stay"	41
"277"	"ah"	40
"329"	"allowed"	40
"848"	"beginning"	40
"1796"	"conversation"	40
"2520"	"door"	40
"6665"	"power"	40
"7070"	"reason"	40
"8187"	"spoke"	40
"8635"	"thank"	40
"9689"	"woodhouses"	40
"4057"	"help"	39
"5001"	"knightleys"	39
"5507"	"meeting"	39
"6984"	"question"	39
"7467"	"round"	39
"7757"	"settled"	39
"9462"	"weather"	39
"9579"	"whose"	39
"590"	"asked"	38
"1060"	"bring"	38
"1475"	"colonel"	38
"1713"	"consider"	38
"2132"	"delightful"	38
"2278"	"different"	38
"3035"	"expected"	38
"3410"	"fond"	38
"5554"	"met"	38
"7934"	"sit"	38
"8086"	"sometimes"	38
"8740"	"thoughts"	38
"9772"	"wrong"	38
"229"	"afterwards"	37
"1810"	"convinced"	37
"2472"	"dixon"	37
"3354"	"five"	37
"5168"	"letters"	37
"6566"	"pleasant"	37
"8090"	"son"	37
"8957"	"truth"	37
"9226"	"use"	37
"138"	"added"	36
"1765"	"continued"	36
"1911"	"creature"	36
"2243"	"determined"	36
"2881"	"entirely"	36
"3181"	"fancy"	36
"3748"	"got"	36
"4003"	"head"	36
"4453"	"impossible"	36
"5984"	"object"	36
"6136"	"open"	36
"7083"	"received"	36
"7380"	"returned"	36
"7547"	"sat"	36
"7936"	"sitting"	36
"8572"	"taylor"	36
"8668"	"themselves"	36
"383"	"amiable"	35
"1323"	"child"	35
"1524"	"common"	35
"2865"	"enscombe"	35
"4963"	"kindness"	35
"5807"	"nature"	35
"5860"	"new"	35
"5877"	"night"	35
"7670"	"seem"	35
"1492"	"comfortable"	34
"3509"	"forward"	34
"5822"	"necessary"	34
"5862"	"news"	34
"8567"	"taste"	34
"8597"	"temper"	34
"42"	"absolutely"	33
"481"	"appear"	33
"1145"	"campbells"	33
"1371"	"circumstance"	33
"2816"	"engaged"	33
"2985"	"excellent"	33
"3708"	"goddards"	33
"3893"	"handsome"	33
"4949"	"keep"	33
"5077"	"large"	33
"5424"	"marriage"	33
"5846"	"neither"	33
"6429"	"perfect"	33
"6574"	"please"	33
"6796"	"probably"	33
"7722"	"sent"	33
"8464"	"supposed"	33
"8484"	"surprize"	33
"109"	"acquainted"	32
"3499"	"fortune"	32
"5477"	"meaning"	32
"5506"	"meet"	32
"460"	"anxious"	31
"1538"	"company"	31
"2966"	"evil"	31
"4013"	"health"	31
"5524"	"men"	31
"6282"	"pain"	31
"6357"	"pass"	31
"6675"	"praise"	31
"7323"	"resolution"	31
"7739"	"serious"	31
"8607"	"ten"	31
"9395"	"wanting"	31
"9646"	"within"	31
"482"	"appearance"	30
"847"	"begin"	30
"1574"	"compliment"	30
"1982"	"danger"	30
"2276"	"difference"	30
"2287"	"difficulty"	30
"3121"	"face"	30
"3147"	"fairfaxs"	30
"3803"	"greater"	30
"4024"	"hearing"	30
"4344"	"husband"	30
"4738"	"interesting"	30
"5034"	"knows"	30
"5415"	"maple"	30
"5683"	"months"	30
"6481"	"persuaded"	30
"7581"	"says"	30
"8190"	"spoken"	30
"9741"	"worth"	30
"806"	"beauty"	29
"989"	"bodys"	29
"1214"	"case"	29
"1290"	"charming"	29
"1373"	"circumstances"	29
"2129"	"delighted"	29
"3138"	"fair"	29
"3404"	"followed"	29
"3792"	"gratitude"	29
"3804"	"greatest"	29
"3829"	"grove"	29
"5999"	"obliging"	29
"6303"	"papa"	29
"7640"	"second"	29
"7986"	"small"	29
"8488"	"surprized"	29
"8969"	"turned"	29
"669"	"attentions"	28
"3463"	"forget"	28
"4292"	"hours"	28
"4930"	"judgment"	28
"5457"	"matter"	28
"7450"	"robert"	28
"7812"	"shew"	28
"8007"	"smiling"	28
"8968"	"turn"	28
"9472"	"week"	28
"132"	"actually"	27
"181"	"advantage"	27
"259"	"ago"	27
"747"	"ball"	27
"1307"	"cheerful"	27
"1534"	"companion"	27
"1950"	"curiosity"	27
"1976"	"dancing"	27
"2059"	"decided"	27
"2662"	"easy"	27
"2820"	"engagement"	27
"2986"	"except"	27
"3011"	"excuse"	27
"3908"	"happened"	27
"5540"	"merely"	27
"5914"	"none"	27
"8786"	"times"	27
"9401"	"warm"	27
"9540"	"whenever"	27
"9787"	"year"	27
"586"	"ashamed"	26
"1249"	"certain"	26
"1569"	"completely"	26
"1941"	"crown"	26
"4119"	"hers"	26
"5025"	"knowledge"	26
"5093"	"late"	26
"5440"	"martins"	26
"6527"	"pity"	26
"7156"	"regret"	26
"7326"	"resolved"	26
"7931"	"sister"	26
"8548"	"taking"	26
"9309"	"view"	26
"713"	"aware"	25
"1405"	"clever"	25
"1462"	"coles"	25
"1636"	"conduct"	25
"1707"	"consequence"	25
"2162"	"depend"	25
"2711"	"elegant"	25
"3565"	"friendship"	25
"3707"	"goddard"	25
"4695"	"instead"	25
"5023"	"knowing"	25
"5140"	"led"	25
"5259"	"lived"	25
"5297"	"looks"	25
"5320"	"loved"	25
"5445"	"match"	25
"5532"	"mentioned"	25
"6029"	"occasion"	25
"6391"	"pay"	25
"6996"	"quiet"	25
"7892"	"silent"	25
"8175"	"spirit"	25
"8350"	"style"	25
"8929"	"tried"	25
"9044"	"understanding"	25
"9730"	"worse"	25
"9805"	"yesterday"	25
"342"	"alone"	24
"1489"	"comes"	24
"2436"	"distance"	24
"2872"	"entered"	24
"3232"	"favour"	24
"3496"	"fortunate"	24
"3629"	"generally"	24
"4168"	"highly"	24
"4250"	"honour"	24
"4626"	"influence"	24
"4925"	"judge"	24
"5433"	"marrying"	24
"5945"	"notice"	24
"6545"	"plan"	24
"7550"	"satisfaction"	24
"7675"	"seems"	24
"7720"	"sensible"	24
"7878"	"sight"	24
"8181"	"spite"	24
"8340"	"struck"	24
"9765"	"write"	24
"10"	"abbey"	23
"159"	"admiration"	23
"644"	"attached"	23
"809"	"became"	23
"858"	"behaviour"	23
"1026"	"box"	23
"1359"	"chuse"	23
"1718"	"consideration"	23
"2421"	"disposition"	23
"3125"	"fact"	23
"4280"	"horses"	23
"4338"	"hurry"	23
"4909"	"join"	23
"4941"	"justice"	23
"6054"	"odd"	23
"6852"	"proof"	23
"6942"	"purpose"	23
"7505"	"sad"	23
"7525"	"sake"	23
"7598"	"scheme"	23
"7707"	"send"	23
"8970"	"turning"	23
"9051"	"understood"	23
"9255"	"vain"	23
"357"	"also"	22
"781"	"batess"	22
"803"	"beautiful"	22
"974"	"blush"	22
"1225"	"caught"	22
"1385"	"claims"	22
"2616"	"due"	22
