"Word"	"Freq"
"10004"	"till"	67
"10893"	"whether"	67
"10941"	"whom"	67
"4770"	"hope"	66
"6805"	"open"	66
"8609"	"seen"	66
"10046"	"together"	66
"1425"	"cant"	65
"4534"	"hat"	65
"2246"	"course"	64
"4427"	"half"	64
"5533"	"knew"	64
"1568"	"chapter"	63
"1756"	"close"	63
"2472"	"dead"	63
"3666"	"fell"	63
"4026"	"full"	63
"5613"	"large"	63
"6082"	"matter"	63
"10057"	"told"	63
"4335"	"grimwig"	62
"5653"	"lay"	62
"9416"	"stood"	61
"10042"	"toby"	61
"10871"	"whats"	61
"887"	"began"	60
"5925"	"low"	60
"6356"	"mother"	60
"6556"	"next"	60
"6616"	"nor"	60
"9137"	"soon"	60
"11231"	"yet"	60
"3040"	"drew"	59
"3598"	"far"	59
"9914"	"thing"	59
"11066"	"wont"	59
"304"	"alone"	58
"2179"	"corney"	58
"4521"	"harry"	58
"6079"	"matron"	58
"10292"	"twist"	58
"10922"	"white"	58
"3423"	"exclaimed"	57
"7036"	"part"	57
"7176"	"perhaps"	57
"7191"	"person"	57
"9250"	"spoke"	57
"9740"	"taking"	57
"11258"	"youre"	57
"342"	"among"	56
"3679"	"felt"	56
"3855"	"followed"	56
"3994"	"friends"	56
"4354"	"ground"	56
"4669"	"hes"	56
"4944"	"im"	56
"6021"	"mann"	56
"8881"	"silence"	56
"9783"	"tears"	56
"10987"	"window"	56
"325"	"always"	55
"1284"	"brittles"	55
"4633"	"help"	55
"4127"	"gave"	54
"9421"	"stop"	54
"443"	"appeared"	53
"957"	"best"	53
"2489"	"death"	53
"3529"	"eye"	53
"3948"	"found"	53
"9422"	"stopped"	53
"9496"	"strong"	53
"323"	"although"	52
"850"	"because"	52
"5217"	"instant"	52
"9649"	"sure"	52
"306"	"along"	51
"1168"	"both"	51
"1445"	"care"	51
"1587"	"charlotte"	51
"1727"	"claypole"	51
"2175"	"corner"	51
"3637"	"fear"	51
"8138"	"reply"	51
"11260"	"yourself"	51
"3110"	"each"	50
"6248"	"minutes"	50
"6497"	"near"	50
"6590"	"nobody"	50
"9472"	"streets"	50
"11037"	"within"	50
"1357"	"business"	49
"3260"	"end"	49
"4500"	"happy"	49
"5859"	"london"	49
"10946"	"whose"	49
"860"	"bed"	48
"3662"	"feet"	48
"4501"	"hard"	48
"4613"	"heavy"	48
"4665"	"herself"	48
"5505"	"kind"	48
"5998"	"making"	48
"9885"	"theres"	48
"10012"	"times"	48
"250"	"ah"	47
"2468"	"days"	47
"2478"	"deal"	47
"11212"	"years"	47
"2532"	"deep"	46
"4827"	"however"	46
"5689"	"led"	46
"6806"	"opened"	46
"7842"	"raised"	46
"11056"	"women"	46
"311"	"already"	45
"508"	"arm"	45
"1901"	"companion"	45
"4741"	"hold"	45
