"Word"	"Freq"
"3566"	"enough"	70
"5955"	"keep"	70
"10221"	"stopped"	70
"7599"	"passed"	69
"2579"	"dark"	68
"10113"	"state"	68
"6418"	"low"	67
"7689"	"people"	67
"3655"	"evening"	66
"4866"	"half"	66
"6751"	"mine"	66
"567"	"arm"	65
"7036"	"near"	65
"8119"	"present"	65
"8746"	"replied"	65
"6505"	"making"	64
"10475"	"sure"	64
"10583"	"taking"	64
"1671"	"chapter"	63
"6171"	"leave"	63
"7212"	"o"	63
"1491"	"called"	62
"2605"	"days"	62
"4403"	"friend"	62
"8294"	"provis"	62
"11647"	"wanted"	62
"4041"	"few"	61
"4077"	"find"	61
"5032"	"hear"	61
"5963"	"kept"	61
"12038"	"work"	61
"908"	"became"	60
"3181"	"doubt"	60
"5523"	"indeed"	60
"8510"	"reason"	60
"11882"	"whole"	60
"2456"	"cried"	59
"4505"	"gate"	59
"5192"	"hold"	59
"5981"	"kind"	59
"7742"	"person"	59
"10271"	"street"	59
"11626"	"walk"	59
"964"	"believe"	58
"4950"	"hard"	58
"5995"	"kitchen"	58
"11008"	"town"	58
"11587"	"voice"	58
"496"	"appeared"	57
"2873"	"didnt"	57
"2911"	"dinner"	57
"6408"	"love"	57
"11996"	"within"	57
"293"	"aint"	56
"435"	"answered"	56
"1435"	"business"	56
"5082"	"help"	56
"5902"	"joes"	56
"8485"	"read"	56
"10303"	"strong"	56
"1490"	"call"	55
"3936"	"father"	55
"3994"	"fell"	55
"7944"	"point"	55
"11872"	"white"	55
"12007"	"woman"	55
"12164"	"years"	55
"251"	"aged"	54
"7153"	"nor"	54
"8839"	"rest"	54
"9182"	"says"	54
"9527"	"shoulder"	54
"1731"	"child"	53
"2035"	"company"	53
"5278"	"however"	53
"6059"	"lady"	53
"6064"	"laid"	53
"8152"	"pretty"	53
"8951"	"river"	53
"9953"	"speak"	53
"11939"	"window"	53
"786"	"bad"	52
"3669"	"everything"	52
"5352"	"idea"	52
"10464"	"suppose"	52
"10775"	"things"	52
"11263"	"understand"	52
"12197"	"youre"	52
"1635"	"certain"	51
"4912"	"handel"	51
"6102"	"large"	51
"6571"	"marshes"	51
"7395"	"orlick"	51
"12200"	"yourself"	51
"10346"	"subject"	50
"339"	"alone"	49
"2344"	"corner"	49
"3996"	"fellow"	49
"6666"	"men"	49
"9518"	"short"	49
"10753"	"theres"	49
"3461"	"em"	48
"3513"	"end"	48
"4291"	"forge"	48
"7261"	"occasion"	48
"11094"	"tried"	48
"11158"	"turn"	48
"11632"	"wall"	48
"342"	"along"	47
"1802"	"circumstances"	47
"2057"	"compeyson"	47
"2608"	"dead"	47
"3241"	"dress"	47
"3842"	"eye"	47
"4356"	"four"	47
"4558"	"getting"	47
"9181"	"saying"	47
"11973"	"wish"	47
"434"	"answer"	46
"1872"	"close"	46
"1946"	"cold"	46
"2392"	"country"	46
"4484"	"garden"	46
"4589"	"glad"	46
"4805"	"guardian"	46
"5133"	"high"	46
"6593"	"matter"	46
"10093"	"standing"	46
"11235"	"uncle"	46
"3273"	"dropped"	45
"6036"	"known"	45
"8369"	"putting"	45
"8685"	"remember"	45
"8732"	"repeated"	45
"9762"	"small"	45
"11443"	"used"	45
"570"	"arms"	44
"1524"	"cant"	44
"3341"	"each"	44
"4128"	"five"	44
"6927"	"mouth"	44
"8244"	"property"	44
"11627"	"walked"	44
"11893"	"whose"	44
"11932"	"wind"	44
"78"	"account"	43
"119"	"across"	43
"338"	"almost"	43
"1169"	"boat"	43
"7719"	"perhaps"	43
"8404"	"quiet"	43
"10251"	"strange"	43
"243"	"afterwards"	42
"494"	"appearance"	42
"1293"	"breakfast"	42
"1881"	"clothes"	42
"1895"	"coach"	42
"3136"	"doing"	42
"8494"	"ready"	42
"9909"	"sort"	42
"11127"	"true"	42
"11160"	"turning"	42
"11705"	"water"	42
"12021"	"wont"	42
"12073"	"wouldnt"	42
"12190"	"youll"	42
"1666"	"change"	41
"1669"	"chap"	41
"4585"	"given"	41
"5117"	"herself"	41
"6167"	"least"	41
"6201"	"less"	41
"8501"	"really"	41
"9342"	"sent"	41
"9881"	"sometimes"	41
"10308"	"struck"	41
"2309"	"convict"	40
"5257"	"hour"	40
"7354"	"opened"	40
"233"	"afraid"	39
"3897"	"family"	39
"4406"	"friends"	39
"5259"	"hours"	39
"6398"	"lost"	39
"8125"	"presently"	39
"9295"	"seeing"	39
"348"	"already"	38
"1837"	"clear"	38
"5385"	"im"	38
"6119"	"late"	38
"6900"	"mother"	38
"8444"	"ran"	38
"9539"	"show"	38
"12049"	"world"	38
"137"	"added"	37
"695"	"attention"	37
"2158"	"confidence"	37
"2371"	"couldnt"	37
"3420"	"either"	37
"6180"	"leg"	37
"7144"	"none"	37
"8349"	"purpose"	37
"8528"	"received"	37
"9358"	"sergeant"	37
"9508"	"shook"	37
"9744"	"slowly"	37
"1217"	"boots"	36
"1342"	"bring"	36
"2549"	"cut"	36
"4519"	"general"	36
"5789"	"iron"	36
"6208"	"letter"	36
"9278"	"secret"	36
"10845"	"thus"	36
"11442"	"use"	36
"282"	"ah"	35
"350"	"also"	35
"1781"	"church"	35
"2218"	"considered"	35
"3349"	"early"	35
"4059"	"figure"	35
"4775"	"ground"	35
"4941"	"happened"	35
"5064"	"heavy"	35
"6292"	"lips"	35
"7298"	"office"	35
"7883"	"play"	35
"10802"	"thoughts"	35
"1523"	"cannot"	34
"1636"	"certainly"	34
"2622"	"death"	34
"6458"	"lying"	34
"7309"	"oh"	34
"7827"	"pipe"	34
"8360"	"pursued"	34
"1145"	"blue"	33
"1513"	"candle"	33
"2013"	"common"	33
"4186"	"floor"	33
"4437"	"full"	33
"4454"	"further"	33
"4491"	"gargery"	33
"4600"	"glass"	33
"5915"	"joseph"	33
"6579"	"master"	33
"6616"	"meant"	33
"7246"	"observed"	33
"7940"	"pockets"	33
"10022"	"spoke"	33
"10852"	"tide"	33
"11140"	"try"	33
"11266"	"understood"	33
"11838"	"whenever"	33
"26"	"able"	32
"3250"	"drew"	32
"3639"	"estellas"	32
"3866"	"fact"	32
"3987"	"feet"	32
"6033"	"knowing"	32
"6188"	"legs"	32
"6393"	"lord"	32
"6614"	"means"	32
"7363"	"opinion"	32
"7527"	"pale"	32
"10466"	"supposed"	32
"10942"	"tomorrow"	32
"10995"	"touched"	32
"33"	"above"	31
"1069"	"bit"	31
"1672"	"character"	31
"3983"	"feeling"	31
"4090"	"fingers"	31
"5120"	"hes"	31
"5860"	"jaggerss"	31
"6035"	"knowledge"	31
"7416"	"ought"	31
"8282"	"proud"	31
"9566"	"shut"	31
"9655"	"sitting"	31
"10947"	"tone"	31
"11947"	"wine"	31
"1202"	"book"	30
"1564"	"carried"	30
"3257"	"drink"	30
"4738"	"green"	30
"5844"	"ive"	30
"7029"	"nature"	30
"7135"	"nodded"	30
"9336"	"sense"	30
"10108"	"startop"	30
"10779"	"thinking"	30
"11453"	"usual"	30
"946"	"beginning"	29
"1334"	"bright"	29
